"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","Without Sequence","25.02","",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","Without Sequence","18.29","",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|DK1","Without Sequence","16.04","",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|DK1","Without Sequence","14.60","",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|DK1","Without Sequence","14.95","",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|DK1","Without Sequence","14.50","",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|DK1","Without Sequence","10.76","",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|DK1","Without Sequence","12.01","",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|DK1","Without Sequence","12.39","",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|DK1","Without Sequence","14.04","",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|DK1","Without Sequence","14.68","",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|DK1","Without Sequence","16.08","",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|DK1","Without Sequence","16.08","",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|DK1","Without Sequence","16.05","",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|DK1","Without Sequence","16.04","",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|DK1","Without Sequence","16.10","",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|DK1","Without Sequence","23.93","",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|DK1","Without Sequence","26.90","",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|DK1","Without Sequence","26.36","",""
