"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","Without Sequence","20.96","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","Without Sequence","20.90","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","Without Sequence","18.13","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|DK1","Without Sequence","16.03","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|DK1","Without Sequence","16.43","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|DK1","Without Sequence","13.75","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|DK1","Without Sequence","11.10","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|DK1","Without Sequence","15.47","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|DK1","Without Sequence","16.88","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|DK1","Without Sequence","21.81","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|DK1","Without Sequence","26.24","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|DK1","Without Sequence","27.48","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|DK1","Without Sequence","28.04","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|DK1","Without Sequence","28.70","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|DK1","Without Sequence","29.66","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|DK1","Without Sequence","30.38","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|DK1","Without Sequence","30.80","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|DK1","Without Sequence","30.93","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|DK1","Without Sequence","30.78","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|DK1","Without Sequence","30.51","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|DK1","Without Sequence","30.19","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|DK1","Without Sequence","29.94","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|DK1","Without Sequence","29.65","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|DK1","Without Sequence","29.36","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|DK1","Without Sequence","29.40","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|DK1","Without Sequence","28.91","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|DK1","Without Sequence","28.11","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|DK1","Without Sequence","27.89","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|DK1","Without Sequence","27.73","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|DK1","Without Sequence","30.43","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|DK1","Without Sequence","32.85","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|DK1","Without Sequence","33.91","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|DK1","Without Sequence","34.87","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|DK1","Without Sequence","35.22","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|DK1","Without Sequence","35.41","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|DK1","Without Sequence","35.07","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|DK1","Without Sequence","34.85","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|DK1","Without Sequence","34.70","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|DK1","Without Sequence","34.80","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|DK1","Without Sequence","35.93","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|DK1","Without Sequence","37.52","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|DK1","Without Sequence","38.48","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|DK1","Without Sequence","36.88","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|DK1","Without Sequence","35.52","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|DK1","Without Sequence","35.23","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|DK1","Without Sequence","34.74","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|DK1","Without Sequence","32.99","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|DK1","Without Sequence","30.89","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|DK1","Without Sequence","30.65","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|DK1","Without Sequence","30.37","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|DK1","Without Sequence","30.15","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|DK1","Without Sequence","30.14","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|DK1","Without Sequence","30.40","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|DK1","Without Sequence","30.75","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|DK1","Without Sequence","31.02","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|DK1","Without Sequence","31.58","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|DK1","Without Sequence","31.77","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|DK1","Without Sequence","32.96","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|DK1","Without Sequence","31.25","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|DK1","Without Sequence","30.82","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|DK1","Without Sequence","30.50","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|DK1","Without Sequence","30.21","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|DK1","Without Sequence","30.02","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|DK1","Without Sequence","29.71","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|DK1","Without Sequence","29.79","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|DK1","Without Sequence","29.90","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|DK1","Without Sequence","29.78","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|DK1","Without Sequence","29.56","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|DK1","Without Sequence","29.40","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|DK1","Without Sequence","24.56","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|DK1","Without Sequence","17.77","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|DK1","Without Sequence","0.12","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|DK1","Without Sequence","0.11","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|DK1","Without Sequence","-0.05","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|DK1","Without Sequence","-6.27","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|DK1","Without Sequence","-5.09","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|DK1","Without Sequence","0.06","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|DK1","Without Sequence","10.55","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|DK1","Without Sequence","10.98","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|DK1","Without Sequence","30.65","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|DK1","Without Sequence","30.44","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|DK1","Without Sequence","30.44","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|DK1","Without Sequence","30.57","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|DK1","Without Sequence","30.62","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|DK1","Without Sequence","30.75","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|DK1","Without Sequence","30.68","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|DK1","Without Sequence","30.73","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|DK1","Without Sequence","30.84","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|DK1","Without Sequence","31.22","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|DK1","Without Sequence","31.47","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|DK1","Without Sequence","31.29","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|DK1","Without Sequence","31.15","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|DK1","Without Sequence","31.03","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|DK1","Without Sequence","30.96","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|DK1","Without Sequence","30.87","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|DK1","Without Sequence","30.44","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|DK1","Without Sequence","30.51","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|DK1","Without Sequence","30.23","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|DK1","Without Sequence","30.00","",""
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|DK1","Without Sequence","30.06","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|DK1","Without Sequence","30.61","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|DK1","Without Sequence","28.96","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|DK1","Without Sequence","33.82","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|DK1","Without Sequence","37.21","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|DK1","Without Sequence","38.98","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|DK1","Without Sequence","39.01","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|DK1","Without Sequence","43.04","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|DK1","Without Sequence","44.54","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|DK1","Without Sequence","44.56","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|DK1","Without Sequence","44.66","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|DK1","Without Sequence","44.99","",""
