gamma,target_kwh,mean_cost,std_cost,mean_charge_cost,mean_penalty_cost,mean_penalty,mean_charged
0.1,27.184444338470854,1.2034215013417149,14.63385390011012,0.4867548346750482,0.7166666666666668,0.043,41.491816666666665
0.2,29.559760559656805,1.1020452968198156,11.190204786608662,0.5520452968198158,0.55,0.033,43.676325
0.3,32.14262662370066,1.0310931689647596,7.623573205429146,0.6310931689647595,0.4,0.024,46.13610833333333
0.4,34.95117777376968,0.9951340736458391,5.188449690619821,0.7284674069791723,0.26666666666666666,0.016,48.863099999999996
0.5,38.00513387020166,1.0533766208665893,4.560379282875545,0.8533766208665892,0.2,0.012,51.74024166666666
0.6,40.0,1.1407883940321737,4.212777586171107,0.9574550606988403,0.18333333333333335,0.011,53.518391666666666
0.7,40.0,1.1407883940321737,4.212777586171107,0.9574550606988403,0.18333333333333335,0.011,53.518391666666666
0.8,40.0,1.1407883940321737,4.212777586171107,0.9574550606988403,0.18333333333333335,0.011,53.518391666666666
0.9,40.0,1.1407883940321737,4.212777586171107,0.9574550606988403,0.18333333333333335,0.011,53.518391666666666
1.0,40.0,1.1407883940321737,4.212777586171107,0.9574550606988403,0.18333333333333335,0.011,53.518391666666666
