"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","Without Sequence","16.39","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","Without Sequence","16.04","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|DK1","Without Sequence","15.74","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|DK1","Without Sequence","15.57","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|DK1","Without Sequence","15.47","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|DK1","Without Sequence","15.75","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|DK1","Without Sequence","15.36","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|DK1","Without Sequence","15.37","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|DK1","Without Sequence","15.19","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|DK1","Without Sequence","15.39","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|DK1","Without Sequence","15.78","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|DK1","Without Sequence","16.15","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|DK1","Without Sequence","16.50","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|DK1","Without Sequence","16.72","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|DK1","Without Sequence","17.17","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|DK1","Without Sequence","18.00","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|DK1","Without Sequence","18.53","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|DK1","Without Sequence","19.11","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|DK1","Without Sequence","18.68","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|DK1","Without Sequence","17.93","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|DK1","Without Sequence","17.69","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|DK1","Without Sequence","17.33","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|DK1","Without Sequence","16.75","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|DK1","Without Sequence","16.25","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|DK1","Without Sequence","0.67","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|DK1","Without Sequence","9.90","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|DK1","Without Sequence","15.03","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|DK1","Without Sequence","12.77","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|DK1","Without Sequence","11.27","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|DK1","Without Sequence","11.91","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|DK1","Without Sequence","12.62","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|DK1","Without Sequence","13.83","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|DK1","Without Sequence","16.12","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|DK1","Without Sequence","15.72","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|DK1","Without Sequence","15.97","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|DK1","Without Sequence","15.98","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|DK1","Without Sequence","15.87","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|DK1","Without Sequence","15.98","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|DK1","Without Sequence","15.99","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|DK1","Without Sequence","15.99","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|DK1","Without Sequence","16.22","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|DK1","Without Sequence","16.51","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|DK1","Without Sequence","16.37","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|DK1","Without Sequence","16.08","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|DK1","Without Sequence","16.15","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|DK1","Without Sequence","15.83","",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|DK1","Without Sequence","15.82","",""
"02/01/2016 23:00:00 - 03/01/2016 00:00:00","BZN|DK1","Without Sequence","15.31","",""
"03/01/2016 00:00:00 - 03/01/2016 01:00:00","BZN|DK1","Without Sequence","6.99","",""
"03/01/2016 01:00:00 - 03/01/2016 02:00:00","BZN|DK1","Without Sequence","-0.01","",""
"03/01/2016 02:00:00 - 03/01/2016 03:00:00","BZN|DK1","Without Sequence","0.23","",""
"03/01/2016 03:00:00 - 03/01/2016 04:00:00","BZN|DK1","Without Sequence","4.51","",""
"03/01/2016 04:00:00 - 03/01/2016 05:00:00","BZN|DK1","Without Sequence","4.12","",""
"03/01/2016 05:00:00 - 03/01/2016 06:00:00","BZN|DK1","Without Sequence","6.76","",""
"03/01/2016 06:00:00 - 03/01/2016 07:00:00","BZN|DK1","Without Sequence","0.75","",""
"03/01/2016 07:00:00 - 03/01/2016 08:00:00","BZN|DK1","Without Sequence","4.27","",""
"03/01/2016 08:00:00 - 03/01/2016 09:00:00","BZN|DK1","Without Sequence","9.11","",""
"03/01/2016 09:00:00 - 03/01/2016 10:00:00","BZN|DK1","Without Sequence","15.92","",""
"03/01/2016 10:00:00 - 03/01/2016 11:00:00","BZN|DK1","Without Sequence","16.70","",""
"03/01/2016 11:00:00 - 03/01/2016 12:00:00","BZN|DK1","Without Sequence","16.49","",""
"03/01/2016 12:00:00 - 03/01/2016 13:00:00","BZN|DK1","Without Sequence","16.37","",""
"03/01/2016 13:00:00 - 03/01/2016 14:00:00","BZN|DK1","Without Sequence","16.35","",""
"03/01/2016 14:00:00 - 03/01/2016 15:00:00","BZN|DK1","Without Sequence","16.35","",""
